COLaF ID and link	Title	Year	Original Search term	Link	Author	Genre	Character	Target_region	Lang	Metalang	Source	Transcribed	TEI	Added to corpus?
MOL_ANG_001	Le Testament du Gentil Cossois	1509	"moy donne"	https://www.jstor.org/stable/pdf/25519232.pdf?refreqid=fastly-default%3Ace3343ffd00160281d9c43f2b76c17d5&ab_segments=&origin=&initiator=&acceptTC=1	Anonymous	poetry	n/a	Scotland	fra-ang	met-fr	Google Books	yes	yes	yes
MOL_DEU_001	Le Noel des Reitres	1580-1600	moi sti	https://www.delpher.nl/nl/boeken1/gview?query=moi+sti&coll=boeken1&identifier=OR5bAAAAQAAJ&rowid=2	Anonymous	lyrics	n/a	Switzerland	fra-deu	met-fr	Delpher	yes	yes	yes
MOL_ANG_002	Testament d'vn escossois	1620	moy ly	https://books.google.fr/books?id=ksvql72IXpAC&pg=PA651&dq=moy+ly&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwjqyf2j6_aFAxXYUaQEHcy6CYQQ6AF6BAgEEAI#v=onepage&q=moy%20ly&f=false	Sieur de Sygognes.	poetry	n/a	Scotland	fra-ang	met-fr	Google Books	yes	yes	yes
MOL_DEU_004	L' histoire comique de Francion	1630	"ly va"	https://google.fr/books/edition/L_histoire_comique_de_Francion_ou_les_tr/2avypkWifOsC?hl=en&gbpv=1&dq=%22ly+va%22&pg=PA533&printsec=frontcover	Charles Sorel	prose-novel	Le Suisse	Switzerland	fra-deu	met-fr	Google Books	yes	yes	yes
MOL_DEU_003	Qvestion cardinale plaisamment agitée ov dasthicotée entre vn Holandois et vn Svisse, et décidée par vn François	1649	moy ly	https://books.google.fr/books?id=f236EfgvJRYC&pg=PP7&dq=moy+ly&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwjdjK2a9PaFAxX2VKQEHZFxC8M4KBDoAXoECAoQAg#v=onepage&q=moy%20ly&f=false	Anonymous	drama	Le Suisse, Le Hollandois	Switzerland, Holland	fra-deu, fra-nld	met-fr	Google Books	yes	yes	yes
MOL_DEU_001	Les divertissements curieux: D'un Suisse et d'un singe	1650	ly moy toy	https://books.google.fr/books?id=doYca2pWzVAC&pg=PA110&dq=ly+moy+toy&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwi77faOo_eFAxXzUKQEHb2DA-4QuwV6BAgLEAg#v=onepage&q=ly%20moy%20toy&f=false	Huguetan, Jean	prose	n/a	Switzerland	fra-deu	met-fr	Google Books	yes	yes	yes
MOL_TC_001	Dom Juan	1665	n/a	https://www.theatre-classique.fr/pages/documents/MOLIERE_DOMJUAN.xml	Molière	drama	Pierrot, Charlotte	French Peasant	fra-dia, fra-dia	met-fr	theatre-classique	yes	yes	yes
MOL_TC_002	Elomire Hypocondre	1670	n/a	https://www.theatre-classique.fr/pages/documents/LEBOULANGERCHALUSSAY_ELOMIREHYPOCONDRE.xml	Le Boulanger de Chalussay	drama	Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_TC_003	Monsieur de Pourceaugnac 	1670	n/a	https://www.theatre-classique.fr/pages/documents/MOLIERE_MONSIEURPOURCEAUGNAC.xml	Molière	drama	Premier Suisse, Second Suisse	Switzerland	fra-deu, fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_GCF_001	Le Triton v.1	1671	n/a		Greffe de Port Royal	prose	n/a	Martinique	gcf	eng	Creolist archives	yes	yes	yes
